name,department,salary,hire_date,status
Alice Johnson,Engineering,95000,2019-03-15,Active
Bob Smith,Engineering,88000,2020-07-01,Active
Carol Williams,Marketing,72000,2018-11-20,Active
David Brown,Marketing,68000,2021-02-10,Inactive
Eve Davis,HR,61000,2022-05-05,Active
Frank Miller,Engineering,102000,2017-09-12,Active
Grace Wilson,HR,58000,2023-01-30,Inactive
Henry Moore,Marketing,75000,2019-08-14,Active
Iris Taylor,Finance,85000,2020-04-22,Active
Jack Anderson,Finance,91000,2018-06-18,Active
Karen Thomas,Finance,79000,2021-10-03,Inactive
Liam Jackson,Engineering,110000,2016-12-01,Active
Mia White,HR,65000,2022-09-15,Active
Noah Harris,Marketing,70000,2020-03-28,Active
Olivia Martin,Finance,88000,2019-07-11,Active
