name,department,salary,hire_date,status
Alice Johnson,Engineering,95000,2020-03-15,active
Bob Smith,Engineering,105000,2019-07-01,active
Carol White,Engineering,88000,2022-01-10,inactive
David Brown,Sales,72000,2021-06-20,active
Eve Davis,Sales,68000,2020-11-05,active
Frank Miller,Sales,75000,2018-04-12,inactive
Grace Lee,HR,65000,2021-09-01,active
Henry Wilson,HR,70000,2019-02-28,active
Ivy Chen,HR,62000,2023-03-15,inactive
Jack Taylor,Marketing,78000,2020-08-22,active
Karen Moore,Marketing,82000,2019-12-01,active
Leo Garcia,Marketing,71000,2022-05-18,active
