name,department,salary,hire_date,status
Alice Johnson,Engineering,95000,2020-03-15,active
Bob Smith,Marketing,72000,2019-07-22,inactive
Carol White,Engineering,88000,2021-01-10,active
David Brown,HR,65000,2018-05-30,active
Eve Davis,Marketing,78000,2022-11-05,active
Frank Miller,Engineering,102000,2017-09-12,active
Grace Wilson,HR,61000,2023-02-28,inactive
Henry Moore,Marketing,69000,2020-08-17,active
Iris Taylor,Engineering,91000,2019-04-03,active
Jack Anderson,HR,67000,2021-06-15,active
Karen Thomas,Engineering,110000,2016-11-20,active
Liam Jackson,Marketing,75000,2023-05-09,inactive
Mia Harris,HR,63000,2022-09-14,active
Noah Martin,Engineering,97000,2018-02-28,inactive
Olivia Garcia,Marketing,82000,2020-12-01,active
Peter Lee,HR,70000,2017-07-07,active
